#q*Aangstroem	C14_ESRF_ID01 (4200 mm)*cm*sr	stddev*cm*sr
0.042224	37.270	0.013858
0.042278	37.269	0.013934
0.042333	37.263	0.014081
0.042387	37.268	0.014722
0.042442	37.265	0.014426
0.042496	37.248	0.014984
0.042550	37.234	0.013784
0.042605	37.221	0.013796
0.042659	37.218	0.013819
0.042714	37.222	0.013877
0.042768	37.217	0.013964
0.042823	37.225	0.014223
0.042877	37.222	0.014332
0.042932	37.216	0.013939
0.042986	37.189	0.014022
0.043040	37.158	0.014196
0.043095	37.169	0.014784
0.043149	37.193	0.013904
0.043204	37.193	0.014003
0.043258	37.176	0.014354
0.043313	37.167	0.014789
0.043367	37.163	0.013848
0.043422	37.162	0.013862
0.043476	37.154	0.013883
0.043530	37.148	0.013916
0.043585	37.126	0.013971
0.043639	37.091	0.014075
0.043694	37.070	0.014352
0.043748	37.077	0.015555
0.043803	37.104	0.014115
0.043857	37.102	0.014339
0.043911	37.105	0.015252
0.043966	37.122	0.013911
0.044020	37.123	0.013934
0.044075	37.100	0.013988
0.044129	37.087	0.014119
0.044184	37.055	0.014641
0.044238	37.026	0.015118
0.044293	37.027	0.013901
0.044347	37.043	0.013922
0.044402	37.045	0.013950
0.044456	37.030	0.013992
0.044510	37.015	0.014159
0.044565	37.002	0.015284
0.044619	36.997	0.014150
0.044674	37.004	0.014330
0.044728	37.009	0.014845
0.044783	36.995	0.013922
0.044837	36.983	0.013918
0.044891	36.985	0.013925
0.044946	36.992	0.013946
0.045000	36.986	0.013974
0.045055	36.978	0.014040
0.045109	36.975	0.014109
0.045164	36.959	0.014234
0.045218	36.954	0.015300
0.045273	36.941	0.013973
0.045327	36.927	0.013996
0.045381	36.926	0.014033
0.045436	36.927	0.014091
0.045490	36.932	0.014190
0.045545	36.921	0.014383
0.045599	36.928	0.014925
0.045654	36.931	0.015853
0.045708	36.909	0.014361
0.045763	36.883	0.015353
0.045817	36.879	0.013944
0.045871	36.880	0.013954
0.045926	36.868	0.013967
0.045980	36.864	0.013977
0.046035	36.851	0.013998
0.046089	36.858	0.014032
0.046144	36.869	0.014077
0.046198	36.870	0.014127
0.046253	36.881	0.014319
0.046307	36.894	0.015532
0.046361	36.892	0.015218
0.046416	36.862	0.014205
0.046470	36.840	0.014376
0.046525	36.847	0.014518
0.046579	36.852	0.015311
0.046634	36.856	0.014016
0.046688	36.857	0.014042
0.046742	36.848	0.014105
0.046797	36.844	0.014191
0.046851	36.842	0.014293
0.046906	36.832	0.014777
0.046960	36.813	0.015128
0.047015	36.795	0.014012
0.047069	36.777	0.014025
0.047124	36.786	0.014041
0.047178	36.796	0.014069
0.047232	36.793	0.014104
0.047287	36.789	0.014159
0.047341	36.786	0.014263
0.047396	36.767	0.014319
0.047450	36.753	0.014513
0.047505	36.760	0.014823
0.047559	36.781	0.016339
0.047614	36.794	0.015841
0.047668	36.771	0.014018
0.047722	36.744	0.014020
0.047777	36.749	0.014030
0.047831	36.745	0.014035
0.047886	36.729	0.014055
0.047940	36.719	0.014079
0.047995	36.715	0.014133
0.048049	36.717	0.014168
0.048104	36.714	0.014263
0.048158	36.709	0.014629
0.048212	36.711	0.014755
0.048267	36.713	0.015499
0.048321	36.711	0.014167
0.048376	36.703	0.014220
0.048430	36.702	0.014290
0.048485	36.703	0.014382
0.048539	36.702	0.014544
0.048593	36.687	0.015125
0.048648	36.665	0.016127
0.048702	36.655	0.014133
0.048757	36.650	0.014194
0.048811	36.652	0.014371
0.048866	36.649	0.014413
0.048920	36.629	0.015460
0.048975	36.621	0.015788
0.049029	36.630	0.014066
0.049083	36.634	0.014070
0.049138	36.627	0.014084
0.049192	36.622	0.014097
0.049247	36.617	0.014119
0.049301	36.610	0.014160
0.049356	36.598	0.014205
0.049410	36.588	0.014219
0.049465	36.582	0.014318
0.049519	36.583	0.014448
0.049573	36.579	0.014700
0.049628	36.565	0.015939
0.049682	36.576	0.014671
0.049737	36.599	0.015357
0.049791	36.587	0.014073
0.049846	36.568	0.014075
0.049900	36.571	0.014081
0.049955	36.568	0.014085
0.050009	36.564	0.014103
0.050063	36.585	0.014125
0.050118	36.584	0.014153
0.050172	36.536	0.014190
0.050227	36.445	0.014155
0.050281	36.482	0.014281
0.050336	36.520	0.014462
0.050390	36.519	0.014852
0.050444	36.522	0.016408
0.050499	36.534	0.014163
0.050553	36.531	0.014184
0.050608	36.530	0.014233
0.050662	36.524	0.014257
0.050717	36.518	0.014326
0.050771	36.514	0.014464
0.050826	36.513	0.014742
0.050880	36.493	0.014958
0.050934	36.492	0.015820
0.050989	36.495	0.014209
0.051043	36.487	0.014252
0.051098	36.494	0.014339
0.051152	36.496	0.014512
0.051207	36.507	0.014975
0.051261	36.493	0.014115
0.051316	36.481	0.014114
0.051370	36.464	0.014112
0.051424	36.471	0.014122
0.051479	36.478	0.014140
0.051533	36.464	0.014147
0.051588	36.447	0.014161
0.051642	36.444	0.014184
0.051697	36.462	0.014225
0.051751	36.458	0.014254
0.051805	36.454	0.014326
0.051860	36.456	0.014411
0.051914	36.435	0.014549
0.051969	36.420	0.014699
0.052023	36.422	0.014798
0.052078	36.418	0.015352
0.052132	36.393	0.016099
0.052187	36.368	0.015607
0.052241	36.388	0.014114
0.052295	36.401	0.014126
0.052350	36.416	0.014131
0.052404	36.425	0.014141
0.052459	36.421	0.014152
0.052513	36.398	0.014157
0.052568	36.401	0.014174
0.052622	36.412	0.014200
0.052677	36.405	0.014225
0.052731	36.400	0.014265
0.052785	36.403	0.014354
0.052840	36.392	0.016313
0.052894	36.384	0.014188
0.052949	36.376	0.014193
0.053003	36.366	0.014210
0.053058	36.368	0.016477
0.053112	36.354	0.014252
0.053166	36.334	0.014263
0.053221	36.341	0.014313
0.053275	36.351	0.014385
0.053330	36.353	0.014443
0.053384	36.347	0.014570
0.053439	36.340	0.014790
0.053493	36.326	0.015514
0.053548	36.324	0.016298
0.053602	36.335	0.014211
0.053656	36.335	0.014241
0.053711	36.331	0.015048
