#q*Aangstroem	C14_ESRF_ID01 (521 mm)*cm*sr	stddev*cm*sr
0.33640	1.8678	0.0016098
0.33684	1.8592	0.0015203
0.33728	1.8513	0.0015192
0.33771	1.8436	0.0015199
0.33815	1.8357	0.0015220
0.33858	1.8286	0.0015607
0.33902	1.8205	0.0016479
0.33945	1.8116	0.0015065
0.33989	1.8036	0.0015060
0.34032	1.7960	0.0015070
0.34076	1.7896	0.0015114
0.34120	1.7822	0.0015211
0.34163	1.7735	0.0015457
0.34207	1.7664	0.0016425
0.34250	1.7599	0.0015921
0.34294	1.7528	0.0014826
0.34337	1.7457	0.0014809
0.34381	1.7373	0.0014793
0.34424	1.7293	0.0014790
0.34468	1.7215	0.0014811
0.34511	1.7150	0.0014932
0.34555	1.7086	0.0015291
0.34598	1.7020	0.0015734
0.34642	1.6945	0.0014832
0.34686	1.6877	0.0014984
0.34729	1.6813	0.0015551
0.34773	1.6736	0.0014579
0.34816	1.6670	0.0014587
0.34860	1.6597	0.0014629
0.34903	1.6527	0.0014790
0.34947	1.6460	0.0015570
0.34990	1.6393	0.0014433
0.35034	1.6326	0.0014420
0.35077	1.6256	0.0014411
0.35121	1.6191	0.0014425
0.35164	1.6136	0.0014455
0.35208	1.6065	0.0014589
0.35251	1.6004	0.0015499
0.35295	1.5930	0.0014652
0.35339	1.5862	0.0015097
0.35382	1.5803	0.0014238
0.35426	1.5739	0.0014206
0.35469	1.5670	0.0014164
0.35513	1.5608	0.0014143
0.35556	1.5540	0.0014138
0.35600	1.5478	0.0014150
0.35643	1.5428	0.0014199
0.35687	1.5370	0.0014327
0.35730	1.5296	0.0014582
0.35774	1.5224	0.0015334
0.35817	1.5160	0.0014040
0.35861	1.5103	0.0014068
0.35904	1.5041	0.0014131
0.35948	1.4988	0.0014287
0.35991	1.4935	0.0014764
0.36035	1.4879	0.0013921
0.36078	1.4819	0.0013967
0.36122	1.4751	0.0014122
0.36165	1.4684	0.0014821
0.36209	1.4618	0.0015313
0.36252	1.4554	0.0013717
0.36296	1.4509	0.0013711
0.36339	1.4453	0.0013697
0.36383	1.4399	0.0013697
0.36426	1.4345	0.0013699
0.36470	1.4286	0.0013737
0.36513	1.4228	0.0013835
0.36557	1.4182	0.0013951
0.36600	1.4133	0.0014457
0.36644	1.4085	0.0014930
0.36687	1.4022	0.0014509
0.36731	1.3960	0.0013460
0.36774	1.3907	0.0013447
0.36818	1.3849	0.0013432
0.36861	1.3795	0.0013424
0.36905	1.3742	0.0013426
0.36948	1.3683	0.0013459
0.36992	1.3625	0.0013483
0.37035	1.3582	0.0013627
0.37079	1.3539	0.0013843
0.37122	1.3482	0.0014452
0.37166	1.3428	0.0013301
0.37209	1.3385	0.0013310
0.37253	1.3328	0.0013339
0.37296	1.3269	0.0013403
0.37340	1.3222	0.0013549
0.37383	1.3178	0.0013676
0.37427	1.3125	0.0014485
0.37470	1.3072	0.0013251
0.37514	1.3016	0.0013299
0.37557	1.2965	0.0013567
0.37601	1.2920	0.0014798
0.37644	1.2876	0.0013003
0.37688	1.2827	0.0012986
0.37731	1.2774	0.0012976
0.37775	1.2719	0.0012961
0.37818	1.2671	0.0012960
0.37862	1.2627	0.0012966
0.37905	1.2582	0.0012973
0.37948	1.2535	0.0013008
0.37992	1.2484	0.0013111
0.38035	1.2438	0.0013210
